9966_test_p,6.6
12047_test_p,5.53
1341_test_n,5.49
3499_test_p,5.4
5491_test_n,5.15
10941_test_p,5.0
6672_test_p,5.0
8998_test_p,4.99
4177_test_n,4.91
9274_test_p,4.83
11444_test_p,4.8
826_test_n,4.77
5793_test_n,4.75
9299_test_p,4.74
1613_test_n,4.72
6776_test_n,4.66
5547_test_p,4.64
8989_test_p,4.62
6670_test_n,4.6
219_test_p,4.58
6091_test_n,4.57
9151_test_n,4.51
11754_test_n,4.51
4070_test_n,4.51
5885_test_n,4.5
2816_test_p,4.5
11827_test_n,4.46
693_test_n,4.44
1445_test_n,4.43
3183_test_n,4.43
7826_test_p,4.42
11558_test_n,4.41
4862_test_n,4.39
11886_test_n,4.34
10354_test_p,4.34
2431_test_p,4.31
8255_test_n,4.29
1386_test_p,4.28
1909_test_p,4.28
9492_test_n,4.28
915_test_n,4.27
6526_test_p,4.23
9522_test_n,4.22
3276_test_p,4.22
10280_test_n,4.22
12234_test_p,4.2
5281_test_p,4.2
4805_test_n,4.19
11018_test_p,4.18
2616_test_p,4.16
11140_test_p,4.14
12371_test_p,4.13
11362_test_n,4.13
7261_test_n,4.12
10705_test_n,4.11
5131_test_n,4.09
7370_test_p,4.08
1526_test_p,4.06
6842_test_n,4.05
956_test_p,4.04
161_test_n,4.04
12138_test_p,4.04
10089_test_n,4.04
1554_test_p,4.04
12027_test_p,4.03
871_test_p,4.01
8028_test_p,4.01
4219_test_n,4.0
12098_test_p,4.0
11719_test_p,4.0
6005_test_n,4.0
6903_test_p,4.0
5210_test_n,3.98
11435_test_n,3.98
7853_test_p,3.96
2629_test_n,3.95
7498_test_n,3.94
8453_test_p,3.94
11876_test_n,3.94
5326_test_n,3.94
9494_test_p,3.93
2302_test_n,3.93
11037_test_n,3.92
6546_test_p,3.92
4631_test_n,3.92
3148_test_n,3.91
8524_test_p,3.91
12318_test_n,3.9
4665_test_p,3.9
5873_test_n,3.9
10155_test_p,3.9
3285_test_p,3.88
6734_test_p,3.86
2758_test_p,3.86
6556_test_n,3.84
12295_test_p,3.84
4970_test_n,3.84
10730_test_p,3.84
1385_test_p,3.84
12340_test_n,3.84
1671_test_p,3.83
12000_test_p,3.83
12347_test_n,3.82
4538_test_p,3.82
2753_test_p,3.82
2443_test_n,3.8
12324_test_n,3.8
9700_test_p,3.78
9669_test_p,3.78
6165_test_p,3.78
4236_test_n,3.77
8428_test_p,3.77
509_test_p,3.76
9337_test_p,3.76
829_test_p,3.74
6074_test_n,3.73
1874_test_n,3.72
6932_test_n,3.72
5251_test_p,3.72
7261_test_p,3.72
12187_test_n,3.71
5157_test_p,3.7
5311_test_p,3.7
2491_test_n,3.7
12094_test_p,3.69
9102_test_n,3.69
4903_test_p,3.66
7173_test_n,3.66
3012_test_p,3.66
8776_test_n,3.66
4644_test_n,3.66
3856_test_n,3.65
11005_test_p,3.65
5043_test_p,3.65
7847_test_n,3.64
12376_test_n,3.64
9861_test_n,3.64
5811_test_p,3.64
11844_test_n,3.63
8327_test_n,3.62
9308_test_n,3.62
897_test_p,3.62
2008_test_n,3.62
9438_test_n,3.62
10370_test_p,3.61
5734_test_n,3.6
11451_test_n,3.6
8146_test_n,3.6
11778_test_n,3.6
11602_test_n,3.6
9301_test_p,3.59
1603_test_p,3.58
9866_test_n,3.58
4878_test_n,3.58
2051_test_p,3.58
6535_test_n,3.58
7897_test_p,3.58
3810_test_p,3.58
1261_test_p,3.57
4383_test_n,3.57
6319_test_n,3.56
12195_test_p,3.56
9883_test_p,3.56
3346_test_p,3.56
11930_test_p,3.55
3497_test_n,3.55
7641_test_n,3.55
11614_test_p,3.54
6457_test_p,3.54
8511_test_n,3.53
667_test_p,3.52
7682_test_n,3.51
7091_test_p,3.51
10635_test_n,3.5
11516_test_p,3.5
