CODB_LSA_train,CODB_LSA_test,CODB_NLP_train,CODB_NLP_test
1694_train_p,7460_test_n,7624_train_n,1362_test_n
4060_train_p,4587_test_n,11832_train_n,8941_test_n
6076_train_p,5511_test_n,8010_train_n,5120_test_n
1138_train_p,5749_test_n,2100_train_n,647_test_n
1252_train_p,3187_test_n,5947_train_n,6294_test_n
10371_train_p,2282_test_n,11292_train_n,9854_test_n
9110_train_p,3215_test_n,2323_train_n,7804_test_n
7283_train_p,10161_test_p,7839_train_n,12196_test_n
9906_train_p,2742_test_n,2687_train_n,4298_test_p
6501_train_p,9871_test_p,4970_train_n,4697_test_n
12294_train_p,2729_test_p,11349_train_n,9496_test_p
7955_train_p,4391_test_p,8345_train_n,11794_test_p
8767_train_p,3989_test_n,4850_train_n,3959_test_n
2812_train_p,6299_test_p,12243_train_n,11197_test_n
10320_train_p,11151_test_p,9853_train_n,4078_test_p
11480_train_n,11819_test_n,7468_train_n,7309_test_n
4017_train_p,4615_test_n,3098_train_p,3533_test_n
4903_train_p,6723_test_n,6650_train_p,1520_test_n
6477_train_p,233_test_n,5340_train_n,11019_test_n
9826_train_p,3719_test_p,12036_train_p,3122_test_n
12008_train_p,1459_test_n,8669_train_p,1946_test_n
4466_train_p,9495_test_n,5251_train_p,5461_test_n
6709_train_n,1051_test_n,12352_train_p,8980_test_n
5209_train_n,143_test_n,2625_train_p,10735_test_n
3563_train_n,190_test_n,8530_train_n,233_test_n
4003_train_n,7864_test_n,11995_train_n,11407_test_n
4227_train_p,5381_test_n,9598_train_n,4498_test_n
4974_train_p,12485_test_n,3454_train_p,4142_test_n
5792_train_p,5947_test_n,4661_train_p,3529_test_n
1219_train_p,3355_test_n,11899_train_p,4472_test_n
4169_train_p,4888_test_p,7741_train_n,8837_test_n
3999_train_p,4341_test_n,6935_train_n,4896_test_n
5910_train_p,3505_test_p,1540_train_n,5381_test_n
11798_train_p,1443_test_n,9681_train_n,10273_test_n
3380_train_p,7564_test_p,306_train_n,2618_test_n
5388_train_p,11911_test_n,429_train_n,2440_test_n
9609_train_p,6681_test_n,541_train_n,2119_test_n
9816_train_p,4783_test_n,9476_train_n,6303_test_n
6393_train_p,4499_test_n,2911_train_n,8962_test_n
6088_train_p,5050_test_n,6085_train_n,8065_test_n
10277_train_p,10825_test_n,6529_train_n,12485_test_n
10942_train_p,4059_test_n,1385_train_n,4358_test_n
